auction_date,bid_date,bidder_id,bid_id,bid_amount,site_name,auction_id,bstock_condition_name,bstock_category_name
9/13/2022,2022-09-10 12:32:34.000000 UTC,5d42dd06e3d460052763b8ba,17799771,300,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:12:07.000000 UTC,62e329abff03c2000d83079d,17817670,1112,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-07 19:09:29.000000 UTC,62e329abff03c2000d83079d,17768209,100,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-07 19:47:52.000000 UTC,54c35627421aa90e95616a59,17769406,225,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:20:26.000000 UTC,5b3e39d8e3d4600e82754909,17817779,1200,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-12 23:10:20.000000 UTC,54c35627421aa90e95616a59,17814087,625,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:12:28.000000 UTC,62e329abff03c2000d83079d,17817678,1552,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-12 23:10:09.000000 UTC,54c35627421aa90e95616a59,17814086,525,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:21:27.000000 UTC,5b3e39d8e3d4600e82754909,17817817,1650,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-10 17:57:08.000000 UTC,60c8416bc8ce886dac91b95b,17800240,1000,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-10 05:50:08.000000 UTC,61841697c8ce886da7fc723d,17799570,275,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 17:07:12.000000 UTC,5b3e39d8e3d4600e82754909,17818906,1875,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 15:23:02.000000 UTC,62e329abff03c2000d83079d,17817222,922,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 15:23:10.000000 UTC,62e329abff03c2000d83079d,17817224,1111,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:59:30.000000 UTC,62e329abff03c2000d83079d,17818639,2667,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-11 16:01:22.000000 UTC,601b714dc8ce886da83576a6,17801888,400,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-08 03:59:49.000000 UTC,62bd1a96ff03c200105701ad,17774027,200,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 15:22:54.000000 UTC,62e329abff03c2000d83079d,17817220,775,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-09 13:02:47.000000 UTC,626ead6dff03c2000b200ba3,17791859,250,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-07 19:28:25.000000 UTC,626ead6dff03c2000b200ba3,17768808,125,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-08 21:47:47.000000 UTC,5d07ecfde3d4600e829de625,17789177,125,ABC,1640487,Brand New,Consumer Electronics
9/13/2022,2022-09-11 01:05:18.000000 UTC,63151d27feb3d70010cac235,17800998,280,ABC,1640487,Brand New,Consumer Electronics
9/13/2022,2022-09-12 14:20:45.000000 UTC,626ead6dff03c2000b200ba3,17804139,550,ABC,1640487,Brand New,Consumer Electronics
9/13/2022,2022-09-11 01:05:39.000000 UTC,63151d27feb3d70010cac235,17801000,550,ABC,1640487,Brand New,Consumer Electronics
9/13/2022,2022-09-13 15:49:20.000000 UTC,62e329abff03c2000d83079d,17817440,622,ABC,1640487,Brand New,Consumer Electronics
9/13/2022,2022-09-10 18:00:14.000000 UTC,60c8416bc8ce886dac91b95b,17800248,500,ABC,1640487,Brand New,Consumer Electronics
