auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed
2022-09-13,1640488,"Consumer Electronics","2022-09-10 05:52:16.000000 UTC",17799575,61841697c8ce886da7fc723d,777
2022-09-13,1640488,"Consumer Electronics","2022-09-12 22:36:36.000000 UTC",17813877,60d4ec0ac8ce886daba2f576,827
2022-09-13,1640488,"Consumer Electronics","2022-09-10 14:34:00.000000 UTC",17799904,61659a6cc8ce886da7f6cf1f,832
2022-09-13,1640488,"Consumer Electronics","2022-09-13 15:19:40.000000 UTC",17817184,62e329abff03c2000d83079d,865
2022-09-13,1640488,"Consumer Electronics","2022-09-13 16:13:21.000000 UTC",17817690,62e329abff03c2000d83079d,922
2022-09-16,1646151,"Consumer Electronics","2022-09-13 20:51:19.000000 UTC",17826581,5e38864ac8ce886c84610b35,200
2022-09-16,1646151,"Consumer Electronics","2022-09-13 21:54:30.000000 UTC",17827658,5d687a77e3d460052b26884d,500
2022-09-16,1646151,"Consumer Electronics","2022-09-13 22:05:40.000000 UTC",17827795,54c36026421aa90e9061f860,500
2022-09-16,1646151,"Consumer Electronics","2022-09-13 22:59:55.000000 UTC",17828158,60d4ec0ac8ce886daba2f576,525
2022-09-16,1646151,"Consumer Electronics","2022-09-14 12:20:47.000000 UTC",17830079,572cfa67421aa90c80a34448,565
2022-09-16,1646151,"Consumer Electronics","2022-09-15 18:13:00.000000 UTC",17846407,5c9150efe3d4600e81e037d8,600
2022-09-16,1646151,"Consumer Electronics","2022-09-16 15:34:13.000000 UTC",17857919,62f61abbff03c2000f17b9b4,666
2022-09-16,1646151,"Consumer Electronics","2022-09-16 16:47:52.000000 UTC",17858363,54c36026421aa90e9061f860,1500
2022-09-16,1646151,"Consumer Electronics","2022-09-16 16:48:14.000000 UTC",17858364,54c36026421aa90e9061f860,1700
2022-09-16,1646151,"Consumer Electronics","2022-09-16 13:17:04.000000 UTC",17857052,5c9150efe3d4600e81e037d8,2000
2022-09-16,1646151,"Consumer Electronics","2022-09-16 16:50:35.000000 UTC",17858378,54c36026421aa90e9061f860,2000
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 00:34:27.000000 UTC",17828597,62e329abff03c2000d83079d,100
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 15:27:32.000000 UTC",17831166,620412efc8ce885c4ac7395f,250
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 15:27:43.000000 UTC",17831169,620412efc8ce885c4ac7395f,300
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 15:27:53.000000 UTC",17831170,620412efc8ce885c4ac7395f,450
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 15:28:02.000000 UTC",17831171,620412efc8ce885c4ac7395f,550
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 15:28:42.000000 UTC",17831173,620412efc8ce885c4ac7395f,650
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 12:23:35.000000 UTC",17830083,572cfa67421aa90c80a34448,815
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-16 14:05:40.000000 UTC",17857361,62e329abff03c2000d83079d,922
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-16 15:12:33.000000 UTC",17857798,62e329abff03c2000d83079d,1111
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-14 22:51:11.000000 UTC",17839054,5e85a1d7c8ce886c84641f51,1200
2022-09-16,1646152,"Apparel, Footwear & Accessories","2022-09-16 15:12:45.000000 UTC",17857800,62e329abff03c2000d83079d,1222
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-20 20:20:49.000000 UTC",17893689,62e329abff03c2000d83079d,111
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-21 22:15:54.000000 UTC",17904248,5cfe559be3d4600e81ea5e0c,125
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 01:30:25.000000 UTC",17914237,5ffe00f7c8ce886da833561a,175
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 01:30:43.000000 UTC",17914239,5ffe00f7c8ce886da833561a,225
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-22 15:09:26.000000 UTC",17907344,6241fe8fff03c2001041ebba,500
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:05:53.000000 UTC",17918717,62e329abff03c2000d83079d,777
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:06:00.000000 UTC",17918730,62e329abff03c2000d83079d,888
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 03:52:49.000000 UTC",17914765,6266f403ff03c2000cc91fed,1000
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:12:21.000000 UTC",17918930,6266f403ff03c2000cc91fed,1100
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:06:09.000000 UTC",17918739,62e329abff03c2000d83079d,1111
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:12:55.000000 UTC",17918961,6266f403ff03c2000cc91fed,1200
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:13:21.000000 UTC",17918973,62e329abff03c2000d83079d,1222
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:14:14.000000 UTC",17919016,6266f403ff03c2000cc91fed,1300
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:17:03.000000 UTC",17919110,62e329abff03c2000d83079d,1333
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:18:55.000000 UTC",17919165,62e329abff03c2000d83079d,1444
2022-09-23,1651870,"Apparel, Footwear & Accessories","2022-09-23 17:17:24.000000 UTC",17919124,6266f403ff03c2000cc91fed,1500
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-20 20:20:16.000000 UTC",17893669,62e329abff03c2000d83079d,111
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-20 20:20:27.000000 UTC",17893671,6305130afeb3d7000c9628b8,125
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-20 20:31:10.000000 UTC",17893921,54c36026421aa90e9061f860,500
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-20 20:44:48.000000 UTC",17894217,5e85a1d7c8ce886c84641f51,700
